candidate,round1,round2,round3,round4,round5,round6,round7,round8,impute,trial,rank
LONDON BREED,92197,92200,92343,92556,94150,97430,104205,117039,vote_choice,96,1
MARK LENO,61515,61515,61662,62042,63363,64816,70030,115771,vote_choice,96,2
JANE KIM,60837,60837,60945,61585,62165,63834,67073,NA,vote_choice,96,3
ANGELA ALIOTO,17600,17600,17825,18034,20338,23044,NA,NA,vote_choice,96,4
ELLEN LEE ZHOU,9597,9597,9724,9859,10986,NA,NA,NA,vote_choice,96,5
RICHIE GREENBERG,7062,7062,7146,7252,NA,NA,NA,NA,vote_choice,96,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,96,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,96,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,96,9
"NA",0,0,0,70,396,2274,10090,18588,vote_choice,96,10
LONDON BREED,92197,92200,92341,92552,94136,97434,104291,117131,vote_choice,97,1
MARK LENO,61515,61515,61648,62033,63341,64773,70016,115744,vote_choice,97,2
JANE KIM,60837,60837,60942,61575,62179,63830,67066,NA,vote_choice,97,3
ANGELA ALIOTO,17600,17600,17821,18019,20329,23048,NA,NA,vote_choice,97,4
ELLEN LEE ZHOU,9597,9597,9738,9884,10972,NA,NA,NA,vote_choice,97,5
RICHIE GREENBERG,7062,7062,7153,7263,NA,NA,NA,NA,vote_choice,97,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,97,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,97,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,97,9
"NA",0,0,0,72,441,2313,10025,18523,vote_choice,97,10
LONDON BREED,92197,92200,92344,92558,94171,97459,104294,117102,vote_choice,98,1
MARK LENO,61515,61515,61651,62018,63354,64815,70010,115738,vote_choice,98,2
JANE KIM,60837,60837,60937,61579,62152,63797,67030,NA,vote_choice,98,3
ANGELA ALIOTO,17600,17600,17824,18030,20357,23045,NA,NA,vote_choice,98,4
ELLEN LEE ZHOU,9597,9597,9733,9874,10948,NA,NA,NA,vote_choice,98,5
RICHIE GREENBERG,7062,7062,7150,7263,NA,NA,NA,NA,vote_choice,98,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,98,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,98,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,98,9
"NA",0,0,0,76,416,2282,10064,18558,vote_choice,98,10
LONDON BREED,92197,92200,92341,92545,94177,97505,104320,117152,vote_choice,99,1
MARK LENO,61515,61515,61656,62032,63352,64772,70008,115737,vote_choice,99,2
JANE KIM,60837,60837,60943,61586,62174,63830,67059,NA,vote_choice,99,3
ANGELA ALIOTO,17600,17600,17820,18027,20319,23022,NA,NA,vote_choice,99,4
ELLEN LEE ZHOU,9597,9597,9732,9880,10980,NA,NA,NA,vote_choice,99,5
RICHIE GREENBERG,7062,7062,7150,7255,NA,NA,NA,NA,vote_choice,99,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice,99,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,99,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,99,9
"NA",0,0,0,73,396,2269,10011,18509,vote_choice,99,10
LONDON BREED,92197,92200,92333,92549,94125,97477,104320,117098,vote_choice,100,1
MARK LENO,61515,61515,61648,62026,63363,64815,70075,115843,vote_choice,100,2
JANE KIM,60837,60837,60949,61582,62175,63789,67001,NA,vote_choice,100,3
ANGELA ALIOTO,17600,17600,17823,18023,20335,23045,NA,NA,vote_choice,100,4
ELLEN LEE ZHOU,9597,9597,9730,9875,10983,NA,NA,NA,vote_choice,100,5
RICHIE GREENBERG,7062,7062,7161,7272,NA,NA,NA,NA,vote_choice,100,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,100,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,100,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,100,9
"NA",0,0,0,71,417,2272,10002,18457,vote_choice,100,10
LONDON BREED,92197,92200,92344,92559,94169,97517,104390,117262,vote_choice_precinct,1,1
MARK LENO,61515,61515,61662,62038,63380,64812,70076,115695,vote_choice_precinct,1,2
JANE KIM,60837,60837,60947,61582,62148,63772,66963,NA,vote_choice_precinct,1,3
ANGELA ALIOTO,17600,17600,17821,18024,20362,23075,NA,NA,vote_choice_precinct,1,4
ELLEN LEE ZHOU,9597,9597,9722,9865,10918,NA,NA,NA,vote_choice_precinct,1,5
RICHIE GREENBERG,7062,7062,7151,7262,NA,NA,NA,NA,vote_choice_precinct,1,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice_precinct,1,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,1,9
"NA",0,0,0,68,421,2222,9969,18441,vote_choice_precinct,1,10
LONDON BREED,92197,92200,92347,92564,94158,97466,104360,117249,vote_choice_precinct,2,1
MARK LENO,61515,61515,61659,62034,63390,64822,70038,115667,vote_choice_precinct,2,2
JANE KIM,60837,60837,60943,61581,62155,63820,67031,NA,vote_choice_precinct,2,3
ANGELA ALIOTO,17600,17600,17827,18030,20320,23015,NA,NA,vote_choice_precinct,2,4
ELLEN LEE ZHOU,9597,9597,9719,9856,10945,NA,NA,NA,vote_choice_precinct,2,5
RICHIE GREENBERG,7062,7062,7151,7264,NA,NA,NA,NA,vote_choice_precinct,2,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,2,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,2,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,2,9
"NA",0,0,0,69,430,2275,9969,18482,vote_choice_precinct,2,10
LONDON BREED,92197,92200,92342,92555,94166,97522,104388,117272,vote_choice_precinct,3,1
MARK LENO,61515,61515,61659,62034,63397,64820,70108,115700,vote_choice_precinct,3,2
JANE KIM,60837,60837,60944,61575,62150,63809,66995,NA,vote_choice_precinct,3,3
ANGELA ALIOTO,17600,17600,17817,18023,20292,22969,NA,NA,vote_choice_precinct,3,4
ELLEN LEE ZHOU,9597,9597,9728,9870,10969,NA,NA,NA,vote_choice_precinct,3,5
RICHIE GREENBERG,7062,7062,7154,7270,NA,NA,NA,NA,vote_choice_precinct,3,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,3,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,3,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,3,9
"NA",0,0,0,71,424,2278,9907,18426,vote_choice_precinct,3,10
LONDON BREED,92197,92200,92346,92570,94164,97496,104372,117228,vote_choice_precinct,4,1
MARK LENO,61515,61515,61653,62023,63397,64830,70117,115774,vote_choice_precinct,4,2
JANE KIM,60837,60837,60945,61577,62145,63760,66939,NA,vote_choice_precinct,4,3
ANGELA ALIOTO,17600,17600,17826,18029,20359,23077,NA,NA,vote_choice_precinct,4,4
ELLEN LEE ZHOU,9597,9597,9723,9865,10913,NA,NA,NA,vote_choice_precinct,4,5
RICHIE GREENBERG,7062,7062,7154,7266,NA,NA,NA,NA,vote_choice_precinct,4,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice_precinct,4,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,4,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,4,9
"NA",0,0,0,68,420,2235,9970,18396,vote_choice_precinct,4,10
LONDON BREED,92197,92200,92345,92564,94137,97430,104319,117233,vote_choice_precinct,5,1
MARK LENO,61515,61515,61654,62023,63367,64786,70060,115642,vote_choice_precinct,5,2
JANE KIM,60837,60837,60942,61579,62153,63802,67004,NA,vote_choice_precinct,5,3
ANGELA ALIOTO,17600,17600,17826,18028,20361,23113,NA,NA,vote_choice_precinct,5,4
ELLEN LEE ZHOU,9597,9597,9725,9866,10961,NA,NA,NA,vote_choice_precinct,5,5
RICHIE GREENBERG,7062,7062,7152,7267,NA,NA,NA,NA,vote_choice_precinct,5,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,5,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,5,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,5,9
"NA",0,0,0,71,419,2267,10015,18523,vote_choice_precinct,5,10
LONDON BREED,92197,92200,92342,92561,94167,97490,104449,117338,vote_choice_precinct,6,1
MARK LENO,61515,61515,61656,62037,63368,64793,69997,115638,vote_choice_precinct,6,2
JANE KIM,60837,60837,60946,61573,62140,63789,66981,NA,vote_choice_precinct,6,3
ANGELA ALIOTO,17600,17600,17819,18022,20345,23046,NA,NA,vote_choice_precinct,6,4
ELLEN LEE ZHOU,9597,9597,9726,9863,10943,NA,NA,NA,vote_choice_precinct,6,5
RICHIE GREENBERG,7062,7062,7157,7273,NA,NA,NA,NA,vote_choice_precinct,6,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,6,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,6,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,6,9
"NA",0,0,0,69,435,2280,9971,18422,vote_choice_precinct,6,10
LONDON BREED,92197,92200,92348,92564,94166,97501,104386,117214,vote_choice_precinct,7,1
MARK LENO,61515,61515,61655,62025,63366,64800,70015,115700,vote_choice_precinct,7,2
JANE KIM,60837,60837,60946,61584,62149,63805,67031,NA,vote_choice_precinct,7,3
ANGELA ALIOTO,17600,17600,17820,18024,20359,23043,NA,NA,vote_choice_precinct,7,4
ELLEN LEE ZHOU,9597,9597,9720,9862,10937,NA,NA,NA,vote_choice_precinct,7,5
RICHIE GREENBERG,7062,7062,7154,7267,NA,NA,NA,NA,vote_choice_precinct,7,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice_precinct,7,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,7,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,7,9
"NA",0,0,0,72,421,2249,9966,18484,vote_choice_precinct,7,10
LONDON BREED,92197,92200,92340,92557,94146,97478,104340,117192,vote_choice_precinct,8,1
MARK LENO,61515,61515,61655,62031,63373,64812,70054,115710,vote_choice_precinct,8,2
JANE KIM,60837,60837,60943,61570,62124,63765,66959,NA,vote_choice_precinct,8,3
ANGELA ALIOTO,17600,17600,17830,18038,20370,23075,NA,NA,vote_choice_precinct,8,4
ELLEN LEE ZHOU,9597,9597,9727,9869,10968,NA,NA,NA,vote_choice_precinct,8,5
RICHIE GREENBERG,7062,7062,7153,7266,NA,NA,NA,NA,vote_choice_precinct,8,6
AMY FARAH WEISS,1683,1683,1750,NA,NA,NA,NA,NA,vote_choice_precinct,8,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,8,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,8,9
"NA",0,0,0,67,417,2268,10045,18496,vote_choice_precinct,8,10
LONDON BREED,92197,92200,92347,92568,94149,97488,104422,117279,vote_choice_precinct,9,1
MARK LENO,61515,61515,61655,62023,63344,64770,70015,115661,vote_choice_precinct,9,2
JANE KIM,60837,60837,60943,61576,62144,63786,67015,NA,vote_choice_precinct,9,3
ANGELA ALIOTO,17600,17600,17818,18020,20376,23108,NA,NA,vote_choice_precinct,9,4
ELLEN LEE ZHOU,9597,9597,9729,9872,10955,NA,NA,NA,vote_choice_precinct,9,5
RICHIE GREENBERG,7062,7062,7154,7270,NA,NA,NA,NA,vote_choice_precinct,9,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,9,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,9,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,9,9
"NA",0,0,0,69,430,2246,9946,18458,vote_choice_precinct,9,10
LONDON BREED,92197,92200,92339,92558,94179,97510,104352,117224,vote_choice_precinct,10,1
MARK LENO,61515,61515,61660,62026,63377,64800,70035,115664,vote_choice_precinct,10,2
JANE KIM,60837,60837,60945,61579,62141,63792,67010,NA,vote_choice_precinct,10,3
ANGELA ALIOTO,17600,17600,17828,18033,20365,23066,NA,NA,vote_choice_precinct,10,4
ELLEN LEE ZHOU,9597,9597,9724,9867,10917,NA,NA,NA,vote_choice_precinct,10,5
RICHIE GREENBERG,7062,7062,7152,7268,NA,NA,NA,NA,vote_choice_precinct,10,6
AMY FARAH WEISS,1683,1683,1750,NA,NA,NA,NA,NA,vote_choice_precinct,10,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,10,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,10,9
"NA",0,0,0,67,419,2230,10001,18510,vote_choice_precinct,10,10
LONDON BREED,92197,92200,92348,92565,94158,97470,104346,117208,vote_choice_precinct,11,1
MARK LENO,61515,61515,61656,62027,63361,64796,70068,115711,vote_choice_precinct,11,2
JANE KIM,60837,60837,60947,61577,62140,63801,67003,NA,vote_choice_precinct,11,3
ANGELA ALIOTO,17600,17600,17820,18023,20365,23072,NA,NA,vote_choice_precinct,11,4
ELLEN LEE ZHOU,9597,9597,9721,9868,10958,NA,NA,NA,vote_choice_precinct,11,5
RICHIE GREENBERG,7062,7062,7153,7268,NA,NA,NA,NA,vote_choice_precinct,11,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,11,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,11,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,11,9
"NA",0,0,0,70,416,2259,9981,18479,vote_choice_precinct,11,10
LONDON BREED,92197,92200,92344,92566,94182,97534,104409,117333,vote_choice_precinct,12,1
MARK LENO,61515,61515,61655,62031,63360,64777,70037,115626,vote_choice_precinct,12,2
JANE KIM,60837,60837,60943,61567,62137,63765,66975,NA,vote_choice_precinct,12,3
ANGELA ALIOTO,17600,17600,17827,18031,20320,23039,NA,NA,vote_choice_precinct,12,4
ELLEN LEE ZHOU,9597,9597,9724,9865,10959,NA,NA,NA,vote_choice_precinct,12,5
RICHIE GREENBERG,7062,7062,7153,7269,NA,NA,NA,NA,vote_choice_precinct,12,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,12,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,12,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,12,9
"NA",0,0,0,69,440,2283,9977,18439,vote_choice_precinct,12,10
LONDON BREED,92197,92200,92344,92565,94150,97487,104387,117295,vote_choice_precinct,13,1
MARK LENO,61515,61515,61659,62029,63380,64792,70042,115648,vote_choice_precinct,13,2
JANE KIM,60837,60837,60944,61573,62130,63768,66968,NA,vote_choice_precinct,13,3
ANGELA ALIOTO,17600,17600,17824,18032,20342,23052,NA,NA,vote_choice_precinct,13,4
ELLEN LEE ZHOU,9597,9597,9721,9863,10974,NA,NA,NA,vote_choice_precinct,13,5
RICHIE GREENBERG,7062,7062,7152,7265,NA,NA,NA,NA,vote_choice_precinct,13,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,13,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,13,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,13,9
"NA",0,0,0,71,422,2299,10001,18455,vote_choice_precinct,13,10
LONDON BREED,92197,92200,92345,92565,94216,97546,104498,117354,vote_choice_precinct,14,1
MARK LENO,61515,61515,61651,62021,63363,64783,69975,115645,vote_choice_precinct,14,2
JANE KIM,60837,60837,60943,61577,62133,63768,66955,NA,vote_choice_precinct,14,3
ANGELA ALIOTO,17600,17600,17820,18021,20311,23042,NA,NA,vote_choice_precinct,14,4
ELLEN LEE ZHOU,9597,9597,9730,9877,10955,NA,NA,NA,vote_choice_precinct,14,5
RICHIE GREENBERG,7062,7062,7151,7262,NA,NA,NA,NA,vote_choice_precinct,14,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,vote_choice_precinct,14,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,14,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,14,9
"NA",0,0,0,75,420,2259,9970,18399,vote_choice_precinct,14,10
LONDON BREED,92197,92200,92346,92560,94182,97530,104407,117239,vote_choice_precinct,15,1
MARK LENO,61515,61515,61657,62029,63387,64825,70074,115765,vote_choice_precinct,15,2
JANE KIM,60837,60837,60945,61583,62159,63807,66998,NA,vote_choice_precinct,15,3
ANGELA ALIOTO,17600,17600,17826,18027,20330,23006,NA,NA,vote_choice_precinct,15,4
ELLEN LEE ZHOU,9597,9597,9720,9864,10919,NA,NA,NA,vote_choice_precinct,15,5
RICHIE GREENBERG,7062,7062,7149,7263,NA,NA,NA,NA,vote_choice_precinct,15,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice_precinct,15,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,15,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,15,9
"NA",0,0,0,72,421,2230,9919,18394,vote_choice_precinct,15,10
LONDON BREED,92197,92200,92341,92556,94181,97494,104356,117241,vote_choice_precinct,16,1
MARK LENO,61515,61515,61652,62033,63371,64833,70092,115699,vote_choice_precinct,16,2
JANE KIM,60837,60837,60945,61575,62128,63757,66956,NA,vote_choice_precinct,16,3
ANGELA ALIOTO,17600,17600,17827,18029,20333,23033,NA,NA,vote_choice_precinct,16,4
ELLEN LEE ZHOU,9597,9597,9728,9869,10970,NA,NA,NA,vote_choice_precinct,16,5
RICHIE GREENBERG,7062,7062,7151,7265,NA,NA,NA,NA,vote_choice_precinct,16,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,16,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,16,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,16,9
"NA",0,0,0,71,415,2281,9994,18458,vote_choice_precinct,16,10
LONDON BREED,92197,92200,92347,92561,94126,97441,104301,117152,vote_choice_precinct,17,1
MARK LENO,61515,61515,61650,62024,63378,64818,70073,115739,vote_choice_precinct,17,2
JANE KIM,60837,60837,60951,61588,62159,63823,67038,NA,vote_choice_precinct,17,3
ANGELA ALIOTO,17600,17600,17820,18022,20360,23047,NA,NA,vote_choice_precinct,17,4
ELLEN LEE ZHOU,9597,9597,9728,9871,10959,NA,NA,NA,vote_choice_precinct,17,5
RICHIE GREENBERG,7062,7062,7152,7265,NA,NA,NA,NA,vote_choice_precinct,17,6
AMY FARAH WEISS,1683,1683,1750,NA,NA,NA,NA,NA,vote_choice_precinct,17,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,17,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,17,9
"NA",0,0,0,67,416,2269,9986,18507,vote_choice_precinct,17,10
LONDON BREED,92197,92200,92349,92573,94189,97474,104380,117256,vote_choice_precinct,18,1
MARK LENO,61515,61515,61651,62026,63340,64802,70042,115685,vote_choice_precinct,18,2
JANE KIM,60837,60837,60946,61572,62151,63811,67011,NA,vote_choice_precinct,18,3
ANGELA ALIOTO,17600,17600,17824,18030,20354,23040,NA,NA,vote_choice_precinct,18,4
ELLEN LEE ZHOU,9597,9597,9726,9867,10944,NA,NA,NA,vote_choice_precinct,18,5
RICHIE GREENBERG,7062,7062,7150,7261,NA,NA,NA,NA,vote_choice_precinct,18,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,18,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,18,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,18,9
"NA",0,0,0,69,420,2271,9965,18457,vote_choice_precinct,18,10
LONDON BREED,92197,92200,92342,92560,94182,97511,104377,117323,vote_choice_precinct,19,1
MARK LENO,61515,61515,61655,62025,63366,64786,70033,115610,vote_choice_precinct,19,2
JANE KIM,60837,60837,60946,61582,62141,63779,66990,NA,vote_choice_precinct,19,3
ANGELA ALIOTO,17600,17600,17826,18027,20352,23077,NA,NA,vote_choice_precinct,19,4
ELLEN LEE ZHOU,9597,9597,9720,9863,10936,NA,NA,NA,vote_choice_precinct,19,5
RICHIE GREENBERG,7062,7062,7151,7266,NA,NA,NA,NA,vote_choice_precinct,19,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,vote_choice_precinct,19,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,19,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,19,9
"NA",0,0,0,75,421,2245,9998,18465,vote_choice_precinct,19,10
LONDON BREED,92197,92200,92343,92559,94139,97455,104352,117282,vote_choice_precinct,20,1
MARK LENO,61515,61515,61658,62028,63384,64806,70055,115648,vote_choice_precinct,20,2
JANE KIM,60837,60837,60944,61584,62170,63825,67041,NA,vote_choice_precinct,20,3
ANGELA ALIOTO,17600,17600,17825,18029,20340,23056,NA,NA,vote_choice_precinct,20,4
ELLEN LEE ZHOU,9597,9597,9723,9863,10939,NA,NA,NA,vote_choice_precinct,20,5
RICHIE GREENBERG,7062,7062,7151,7264,NA,NA,NA,NA,vote_choice_precinct,20,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,20,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,20,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,20,9
"NA",0,0,0,71,426,2256,9950,18468,vote_choice_precinct,20,10
LONDON BREED,92197,92200,92346,92564,94153,97477,104378,117246,vote_choice_precinct,21,1
MARK LENO,61515,61515,61655,62023,63337,64767,69978,115609,vote_choice_precinct,21,2
JANE KIM,60837,60837,60948,61582,62167,63823,66998,NA,vote_choice_precinct,21,3
ANGELA ALIOTO,17600,17600,17825,18030,20353,23062,NA,NA,vote_choice_precinct,21,4
ELLEN LEE ZHOU,9597,9597,9724,9867,10972,NA,NA,NA,vote_choice_precinct,21,5
RICHIE GREENBERG,7062,7062,7147,7262,NA,NA,NA,NA,vote_choice_precinct,21,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,21,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,21,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,21,9
"NA",0,0,0,70,416,2269,10044,18543,vote_choice_precinct,21,10
LONDON BREED,92197,92200,92343,92558,94182,97488,104358,117277,vote_choice_precinct,22,1
MARK LENO,61515,61515,61659,62031,63353,64802,70093,115696,vote_choice_precinct,22,2
JANE KIM,60837,60837,60947,61577,62126,63788,66944,NA,vote_choice_precinct,22,3
ANGELA ALIOTO,17600,17600,17821,18026,20359,23063,NA,NA,vote_choice_precinct,22,4
ELLEN LEE ZHOU,9597,9597,9727,9873,10960,NA,NA,NA,vote_choice_precinct,22,5
RICHIE GREENBERG,7062,7062,7150,7265,NA,NA,NA,NA,vote_choice_precinct,22,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice_precinct,22,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,22,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,22,9
"NA",0,0,0,68,418,2257,10003,18425,vote_choice_precinct,22,10
LONDON BREED,92197,92200,92349,92569,94165,97468,104314,117175,vote_choice_precinct,23,1
MARK LENO,61515,61515,61662,62033,63388,64814,70092,115738,vote_choice_precinct,23,2
JANE KIM,60837,60837,60942,61573,62142,63823,67001,NA,vote_choice_precinct,23,3
ANGELA ALIOTO,17600,17600,17818,18019,20331,23025,NA,NA,vote_choice_precinct,23,4
ELLEN LEE ZHOU,9597,9597,9723,9866,10945,NA,NA,NA,vote_choice_precinct,23,5
RICHIE GREENBERG,7062,7062,7151,7268,NA,NA,NA,NA,vote_choice_precinct,23,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,23,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,23,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,23,9
"NA",0,0,0,70,427,2268,9991,18485,vote_choice_precinct,23,10
LONDON BREED,92197,92200,92343,92560,94161,97468,104365,117260,vote_choice_precinct,24,1
MARK LENO,61515,61515,61658,62023,63324,64759,70004,115647,vote_choice_precinct,24,2
JANE KIM,60837,60837,60944,61578,62149,63811,67003,NA,vote_choice_precinct,24,3
ANGELA ALIOTO,17600,17600,17823,18028,20363,23073,NA,NA,vote_choice_precinct,24,4
ELLEN LEE ZHOU,9597,9597,9723,9870,10982,NA,NA,NA,vote_choice_precinct,24,5
RICHIE GREENBERG,7062,7062,7153,7268,NA,NA,NA,NA,vote_choice_precinct,24,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,24,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,24,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,24,9
"NA",0,0,0,71,419,2287,10026,18491,vote_choice_precinct,24,10
LONDON BREED,92197,92200,92347,92567,94171,97464,104364,117242,vote_choice_precinct,25,1
MARK LENO,61515,61515,61652,62023,63390,64820,70018,115651,vote_choice_precinct,25,2
JANE KIM,60837,60837,60946,61582,62137,63777,67012,NA,vote_choice_precinct,25,3
ANGELA ALIOTO,17600,17600,17823,18025,20335,23076,NA,NA,vote_choice_precinct,25,4
